question,answer
如何重置密码？,登录页面点击"忘记密码"，按照提示输入注册邮箱，系统会发送重置链接到您的邮箱，点击链接即可设置新密码。密码长度要求8-20位，需包含字母和数字。
系统支持哪些浏览器？,系统支持Chrome、Firefox、Edge、Safari等主流浏览器，建议使用最新版本以获得最佳体验。IE浏览器不再支持。
如何修改个人信息？,登录后点击右上角头像，选择"个人中心"，在"基本信息"页面可以修改姓名、手机号、邮箱等个人信息。
忘记账号怎么办？,如果忘记账号，可以通过注册时绑定的手机号或邮箱进行找回。在登录页面点击"忘记账号"，按照提示操作即可。
系统登录失败怎么办？,请检查以下几点：1. 用户名和密码是否正确；2. 网络连接是否正常；3. 账号是否被锁定；4. 浏览器Cookie是否开启。如仍无法解决，请联系客服。
如何联系客服？,您可以通过以下方式联系客服：1. 在线客服（工作日9:00-18:00）；2. 客服热线：400-xxx-xxxx；3. 邮箱：support@example.com
如何开通新账号？,点击注册页面，填写用户名、邮箱、手机号等信息，设置密码后点击注册。管理员审核通过后即可使用。
系统有使用期限吗？,企业版账号按年付费，付费成功后有效期为一年。到期前30天会提醒续费，到期后账号将被冻结。
如何导出数据？,在系统设置中选择"数据导出"，选择需要导出的数据类型和时间范围，点击导出按钮。导出文件为CSV格式，可在"导出记录"中下载。
数据安全如何保障？,系统采用银行级加密技术，数据传输使用SSL加密，存储使用AES-256加密。定期备份数据，确保数据安全可靠。
办理不动产抵押权登记需要哪些材料？,需提交不动产登记申请书、申请人身份证明、不动产权属证书、抵押合同、主债权合同等材料，具体以登记机构要求为准。
办理不动产继承登记有哪些流程？,需先到公证处办理继承权公证或持生效法律文书，再到不动产登记中心提交申请，经受理、审核、登簿后领取不动产权证书。
不动产登记信息如何查询？,权利人可持本人身份证到不动产登记中心自助查询机或窗口查询，利害关系人需提交查询申请表及证明利害关系的材料。
城市更新项目中的老旧小区改造如何申请？,由小区业委会或社区居委会向所在街道办事处提出申请，经区级城市更新主管部门审核后纳入改造计划，按规定程序实施。
城市更新涉及房屋征收的补偿标准是什么？,补偿标准依据房屋区位、用途、建筑面积等因素，以房地产市场评估价确定，被征收人可选择货币补偿或产权调换。
建筑规划中，申请建设用地规划许可证需要什么条件？,需以划拨方式取得国有土地使用权的建设项目，经有关部门批准、核准或备案后，向城乡规划主管部门提交申请，提供用地位置图、地形图等材料。
建设工程规划许可证办理时限是多久？,符合办理条件的，城乡规划主管部门或行政审批局一般在20个工作日内作出许可决定，不含材料补正及特殊环节时间。
既有住宅加装电梯需要哪些审批手续？,需征得本单元专有部分面积占比三分之二以上且人数占比三分之二以上的业主同意，向自然资源和规划部门申请建设工程规划许可，并办理施工图审查、质量安全监督等。
工业用地改变用途为商业怎么办理规划变更？,需符合控制性详细规划，向自然资源和规划部门申请变更建设用地规划条件，重新签订土地出让合同并补缴土地出让金，再申请规划许可。
什么是规划核实？不办理可以吗？,规划核实是对建设项目是否符合规划条件予以确认的环节。建设工程竣工后，建设单位必须申请规划核实，未经核实或核实不合格的，不得组织竣工验收。
人才购房补贴如何申请？,符合条件的申请人可通过当地人社部门线上平台或窗口提交人才认定证明、购房合同、社保记录等，经审核公示后拨付补贴资金。
共有产权住房申请条件有哪些？,通常要求申请人具有本地户籍或符合限购政策，家庭人均住房面积及收入、财产低于规定标准，具体以当地住房保障部门公布为准。
契税优惠政策适用于哪些情况？,个人购买家庭唯一住房及第二套改善性住房可享受契税优惠，具体税率和面积标准按照财税部门规定执行，通常90平方米以下税率1%等。
不动产登记网上预约如何操作？,通过当地不动产登记中心微信公众号或政务服务APP，选择“预约办理”功能，填写信息并选择时间段，携带预约二维码及材料按时前往。
企业间不动产转移登记需要什么程序？,企业可走“企业专窗”，提交申请书、营业执照、股东会决议、产权证书、买卖合同等，一窗受理、同窗出证，一般承诺0.5个工作日办结。
如何申请补办不动产权证书？,权利人需到不动产登记中心声明作废并申请补发，经受理审核后，登记机构在门户网站公告15个工作日，无异议后补发新证。
城市更新中的历史建筑如何保护？,涉及历史建筑的城市更新项目需编制保护方案，征得文物和历史文化保护主管部门同意，不得擅自拆除、改动，遵循修旧如旧原则。
容积率调整需要哪些程序？,建设单位须向自然资源和规划部门提出书面申请，经专家论证、公示、听证等程序，报原审批机关批准，签订出让合同变更协议，补缴地价。
乡村建设规划许可证如何申领？,农村村民住宅建设，向乡镇人民政府提出申请，由乡镇政府报城市、县自然资源和规划部门核发乡村建设规划许可证，需提供宅基地使用证明等。
什么是不动产预告登记？有什么作用？,预告登记是当事人签订买卖房屋协议后，为保障将来实现物权而申请的登记，可防止一房二卖，未经预告登记权利人同意处分该不动产的，不发生物权效力。
城市更新单元规划由谁编制和审批？,城市更新单元规划由区级城市更新主管部门组织编制，经专家评审、公示后，报市级人民政府或其授权机构批准。
建筑外立面改造是否需要办理规划手续？,涉及改变建筑外立面、色彩、材质等需办理建设工程规划许可或相关备案，具体视当地法规和改变程度而定。
不动产夫妻共有加名如何办理？,婚姻关系存续期间，夫妻双方携带身份证、结婚证、不动产权证书共同到登记中心申请变更登记，免契税和个税，只需缴纳登记费。
保障性租赁住房政策对申请人的收入有要求吗？,保障性租赁住房主要面向新市民、青年人，不设收入线门槛，以解决住房困难为主，具体申请条件由各城市政府确定。
因城市规划需拆除合法建筑如何补偿？,应当依法给予补偿，采取货币补偿或产权调换方式，补偿金额不得低于房屋征收决定公告之日类似房地产的市场价格。
工业项目规划审批中关于绿地率有什么规定？,工业项目绿地率一般控制在20%以内，严禁建设成套住宅、宾馆等设施，具体按控制性详细规划和工业项目建设用地控制指标执行。
不动产继承无遗嘱且多位继承人如何登记？,继承人需协商一致确定继承份额，经公证或持法院判决、调解书，共同申请不动产转移登记。如涉及放弃继承权需在登记时签署放弃声明书。
城市更新项目中“微改造”指什么？,微改造是指在维持现状建设格局基本不变的前提下，通过局部拆建、功能置换、整治修缮等方式进行更新，适用于历史文化街区、老旧小区等。
办理不动产抵押注销需要多长时间？,抵押权注销登记当场办结，提交不动产登记申请书、申请人身份证明、不动产登记证明和抵押权消灭的材料即可。
