question,answer
用户反馈登录页面加载很慢，怎么办？,登录页面加载慢通常有以下原因：1. 网络速度慢，建议检查网络连接；2. 浏览器缓存过多，可尝试清除缓存后重试；3. 服务器访问高峰，可稍后再试。如果以上方法都无效，请提交工单说明具体情况。
数据导出一直失败是什么原因？,数据导出失败可能的原因：1. 导出数据量过大，建议缩小时间范围分批导出；2. 浏览器拦截了下载弹窗，请在浏览器设置中允许本站点下载；3. 磁盘空间不足。如仍有问题，请联系技术支持。
上传文件提示格式不支持？,系统支持的文件格式包括：PDF、Word、Excel、PPT、图片（JPG/PNG/GIF）等。单个文件大小不超过50MB。请确认您的文件格式和大小是否符合要求。
为什么我的账号被锁定了？,账号被锁定通常是因为连续多次输入错误密码。系统会在连续5次登录失败后锁定账号30分钟。您可以等待自动解锁，或通过找回密码功能重置密码后立即解锁。
提交的工单多久能得到回复？,我们承诺工作时间内（9:00-18:00）提交的普通工单2小时内响应，紧急工单30分钟内响应。非工作时间提交的工单将在下一个工作日优先处理。
系统升级后有些功能找不到了？,系统升级可能会调整部分功能的位置。您可以查看新版本的功能介绍，或在帮助中心搜索相关功能。如果仍然找不到，请联系客服咨询。
如何批量导入用户数据？,在"用户管理"页面点击"批量导入"按钮，下载导入模板，按照模板格式填写用户数据后上传即可。单次最多支持导入1000条用户数据。
移动端无法访问系统？,请确认：1. 手机网络连接正常；2. 使用的是支持的浏览器；3. 系统地址输入正确；4. 移动端访问权限已开启。如仍有问题，请联系技术支持。
修改密码后还是无法登录？,请尝试以下步骤：1. 确认新密码输入正确，注意大小写；2. 清除浏览器缓存和Cookie；3. 尝试使用隐私模式登录；4. 检查账号是否被锁定。如仍无法登录，请提交工单。
系统提示存储空间不足？,存储空间不足时，您可以：1. 删除不需要的文件释放空间；2. 升级套餐获取更大存储空间；3. 导出历史数据后清理系统数据。请在"系统设置-存储管理"中查看详细使用情况。
我刚买了一套二手房，过户手续办完了，证啥时候能拿到？,您好，二手房过户完成后，一般在3-5个工作日内可以领取不动产权证书，您可以通过登记中心的短信通知或电话查询领证时间。
我人在外地，怎么办理房产解押手续？,您好，您可以委托直系亲属或朋友代为办理，需要提供经公证的授权委托书、您的身份证复印件以及受托人身份证原件，到不动产登记中心申请。
我家老房子要拆了重建，需要办什么规划手续？,您好，需要向自然资源和规划局申请办理建设工程规划许可证，提交申请书、土地证明文件、设计方案等，工作人员会指导您具体流程。
我想查一下别人名下的房子有没有抵押，可以查吗？,您好，利害关系人可以查询不动产登记信息，需提交查询申请书及证明存在买卖、租赁等利害关系的材料；如果不是利害关系人，无法查询他人房产状况。
我申请了城市更新改造，什么时候能知道审批结果？,您好，审批时间一般在20个工作日左右，如果涉及复杂情况可能延长，您可以留下联系电话，有结果我们会第一时间通知您。
我家的房子因为修路被征收了，补偿款啥时候发？,您好，补偿款一般在签约并腾空房屋后按照协议约定时间发放，通常为15-30个工作日，您可以咨询项目现场办公室确认进度。
我买期房贷款已还清，怎么办理抵押注销？,您好，您需持银行的贷款结清证明、房屋他项权证或不动产登记证明、身份证等到不动产登记中心办理抵押权注销登记，当场可办结。
我想把房子过户给孩子，要交多少税？,您好，直系亲属赠与或买卖过户涉及契税、个税等，如果符合满五唯一且是亲属间赠与可能有优惠，具体税率建议咨询税务窗口。
小区的共有产权房，我能申请吗？,您好，需要您家庭无自有住房、符合收入财产标准且在本市缴纳社保或个税一定年限，具体可查看当地住建委官网的申请公告。
我们楼加装电梯，需要整栋楼都同意吗？,您好，不需要整栋楼都同意，依据规定本单元双三分之二以上业主同意即可，但需妥善处理低层住户的补偿问题。
我工厂想改造成创意园，规划怎么调整？,您好，您需要向自然资源和规划局申请变更用地性质和规划条件，可能需要补缴土地出让金，通过审批后才能实施改造。
我拿到了规划许可证副本，正本什么时候能换？,您好，待项目竣工并完成规划核实后，凭规划核实合格证换发建设工程规划许可证正本，请及时申请核实。
我在农村盖个房子，要办房产证吗？,您好，农村宅基地上建房需要办理不动产权证，首先向乡镇政府申请宅基地批准书和乡村建设规划许可证，竣工后办理不动产登记。
人才购房补贴公示结束了，钱打到哪里？,您好，公示无异议后，补贴款项会拨付至您申报时提供的本人银行账户，通常在公示结束后1-2个月内到账，请留意银行信息。
老小区没有物业，能不能申请城市更新改造？,您好，可以由社区居委会代表居民向街道办提出改造申请，纳入计划后会开展意见征询和方案设计。
我办的预告登记证明丢了，能补吗？,您好，可以补办，您需携带身份证到登记中心申请补发，公告期满无异议后会补发新的预告登记证明。
契税补贴是不是可以退税？,您好，契税补贴一般是先征后补方式，您先正常缴纳契税，再凭完税证明和购房材料向指定部门申请补贴，具体条件请留意政策。
我离婚了房子判给我，怎么过户？,您好，您可以凭生效的离婚判决书或调解书，或者离婚协议书和离婚证，单方申请不动产转移登记，无需原配偶到场。
规划方案公示有意见怎么提？,您好，您可以在公示期内在现场或官网找到意见收集表，填写书面意见并留下联系方式，我们会记录并研究。
我拆了自家围墙往外扩了一点，被要求整改怎么办？,您好，您可能涉及违建，需要先停止施工，向城管或规划部门说明情况，可能需补办手续或恢复原状，建议配合调查。
我买地准备建厂房，选址有什么要求？,您好，需符合工业园区规划和产业政策，用地性质应为工业用地，并取得环保、消防等审批，建议您先咨询招商引资部门了解准入条件。
我继承的房产怎么在网上申请登记？,您好，目前部分城市支持线上申请，您可登录省政务服务网不动产登记专区，上传公证书和身份证件，审核通过后预约到现场核验领证。
